"x","y"
"2013-04-27 20:00","9921"
"2013-04-28 20:00","11008"
"2013-04-29 20:00","11158"
"2013-04-30 20:00","11263"
"2013-05-01 20:00","11337"
"2013-05-02 20:00","11409"
"2013-05-03 20:00","11623"
"2013-05-04 20:00","11772"
"2013-05-05 20:00","11870"
"2013-05-06 20:00","11938"
"2013-05-07 20:00","16005"
"2013-05-08 20:00","16952"
"2013-05-09 20:00","17457"
"2013-05-10 20:00","17920"
"2013-05-11 20:00","18069"
"2013-05-12 20:00","18240"
"2013-05-13 20:00","18431"
"2013-05-14 20:00","18547"
"2013-05-15 20:00","18629"
"2013-05-16 20:00","18750"
"2013-05-17 20:00","18837"
"2013-05-18 20:00","19297"
"2013-05-19 20:00","19440"
"2013-05-20 20:00","19606"
"2013-05-21 20:00","19840"
"2013-05-22 20:00","20102"
"2013-05-23 20:00","20256"
"2013-05-24 20:00","20409"
"2013-05-25 20:00","20581"
"2013-05-26 20:00","20874"
"2013-05-27 20:00","21086"
"2013-05-28 20:00","21194"
"2013-05-29 20:00","21319"
"2013-05-30 20:00","21417"
"2013-05-31 20:00","21510"
"2013-06-01 20:00","21780"
"2013-06-02 20:00","21903"
"2013-06-03 20:00","22458"
"2013-06-04 20:00","22657"
"2013-06-05 20:00","23025"
"2013-06-06 20:00","23183"
"2013-06-07 20:00","24522"
"2013-06-08 20:00","26207"
"2013-06-09 20:00","26489"
"2013-06-10 20:00","26743"
"2013-06-11 20:00","26859"
"2013-06-12 20:00","26955"
"2013-06-13 20:00","27063"
"2013-06-14 20:00","27173"
"2013-06-15 20:00","27365"
"2013-06-16 20:00","27514"
"2013-06-17 20:00","28351"
"2013-06-18 20:00","28581"
"2013-06-19 20:00","31006"
"2013-06-20 20:00","31533"
"2013-06-21 20:00","32475"
"2013-06-22 20:00","32840"
"2013-06-23 20:00","33139"
"2013-06-24 20:00","33415"
"2013-06-25 20:00","33630"
"2013-06-26 20:00","33804"
"2013-06-27 20:00","34018"
"2013-06-28 20:00","34195"
"2013-06-29 20:00","34706"
"2013-06-30 20:00","34999"
"2013-07-01 20:00","35318"
"2013-07-02 20:00","35640"
"2013-07-03 20:00","36278"
"2013-07-04 20:00","36910"
